num_rooms,size,floor,Price,Location,Date,Today
3 ,134 ,20/23 ,201 000,Nəsimi r.,"Bakı, dünən 14:57",06/15/2022
4 ,117 ,2/5 ,200 000,Badamdar q.,"Bakı, 30 may 2022",06/15/2022
1 ,51.5 ,7/15 ,118 450,Nəriman Nərimanov m.,"Bakı, dünən 16:31",06/15/2022
3 ,144.5 ,27/27 ,200 000,Yasamal q.,"Bakı, 26 may 2022",06/15/2022
1 ,68.3 ,,116 110,Bakı,"Bakı, 03 i̇yun 2022",06/15/2022
2 ,75.7 ,,173 731,Sea Breeze ,"Bakı, bugün 11:42",06/15/2022
1 ,64.1 ,,147 109,Sea Breeze ,"Bakı, bugün 11:47",06/15/2022
3 ,241 ,,583 220,Bakı,"Bakı, 09 i̇yun 2022",06/15/2022
3 ,130.2 ,5/8 ,195 000,Nəsimi r.,"Bakı, bugün 14:58",06/15/2022
4 ,242 ,3/17 ,250 000,Azadlıq Prospekti m.,"Bakı, bugün 14:57",06/15/2022
3 ,95 ,4/4 ,160 000,Nəsimi r.,"Bakı, bugün 14:57",06/15/2022
2 ,68 ,7/17 ,142 000,8-ci mikrorayon q.,"Bakı, bugün 14:57",06/15/2022
3 ,85 ,5/9 ,136 999,Yasamal r.,"Bakı, bugün 14:57",06/15/2022
2 ,56 ,10/17 ,124 999,Nərimanov r.,"Bakı, bugün 14:57",06/15/2022
4 ,90 ,2/9 ,126 000,Xətai r.,"Bakı, bugün 14:56",06/15/2022
4 ,110 ,9/9 ,114 000,9-cu mikrorayon q.,"Bakı, bugün 14:56",06/15/2022
2 ,58 ,5/5 ,104 000,Nəriman Nərimanov m.,"Bakı, bugün 14:56",06/15/2022
3 ,132 ,10/20 ,198 000,20 Yanvar m.,"Bakı, bugün 14:55",06/15/2022
3 ,87 ,4/7 ,66 990,Masazır q.,"Bakı, bugün 14:54",06/15/2022
2 ,60 ,6/17 ,146 500,28 May m.,"Bakı, bugün 14:54",06/15/2022
2 ,67 ,12/16 ,113 000,28 May m.,"Bakı, bugün 15:10",06/15/2022
