Name,Price,Location,Date,Today,num_rooms,size,floor
1 otaqlı63 m²9/16 mərtəbə,119 700,Nəriman Nərimanov m.,"Bakı, bugün 15:04",06/15/2022,1 ,63 ,9/16 
3 otaqlı150 m²5/18 mərtəbə,240 000,Yasamal r.,"Bakı, bugün 15:04",06/15/2022,3 ,150 ,5/18 
4 otaqlı153 m²7/16 mərtəbə,350 000,Nəriman Nərimanov m.,"Bakı, bugün 15:04",06/15/2022,4 ,153 ,7/16 
2 otaqlı67 m²3/3 mərtəbə,200 000,Bayıl q.,"Bakı, bugün 15:03",06/15/2022,2 ,67 ,3/3 
7 otaqlı550 m²19/19 mərtəbə,496 000,Nərimanov r.,"Bakı, bugün 15:03",06/15/2022,7 ,550 ,19/19 
5 otaqlı267 m²11/12 mərtəbə,840 000,Nərimanov r.,"Bakı, bugün 15:03",06/15/2022,5 ,267 ,11/12 
3 otaqlı135 m²18/19 mərtəbə,158 000,Nizami r.,"Bakı, bugün 15:02",06/15/2022,3 ,135 ,18/19 
4 otaqlı153 m²9/20 mərtəbə,176 000,Nəriman Nərimanov m.,"Bakı, bugün 15:02",06/15/2022,4 ,153 ,9/20 
2 otaqlı83 m²16/17 mərtəbə,135 000,Qara Qarayev m.,"Bakı, bugün 15:01",06/15/2022,2 ,83 ,16/17 
2 otaqlı70 m²8/11 mərtəbə,120 000,Yeni Yasamal q.,"Bakı, bugün 15:01",06/15/2022,2 ,70 ,8/11 
3 otaqlı105 m²11/16 mərtəbə,162 000,Nizami r.,"Bakı, bugün 15:01",06/15/2022,3 ,105 ,11/16 
2 otaqlı87 m²4/17 mərtəbə,330 000,İnşaatçılar m.,"Bakı, bugün 15:00",06/15/2022,2 ,87 ,4/17 
3 otaqlı119.7 m²,221 445,Bakı,"Bakı, bugün 15:00",06/15/2022,3 ,119.7 ,
4 otaqlı105 m²8/16 mərtəbə,195 000,Nəriman Nərimanov m.,"Bakı, bugün 15:00",06/15/2022,4 ,105 ,8/16 
