Name,Price,Location,Date,Today,num_rooms,size,floor
4 otaqlı152 m²10/16 mərtəbə,220 000,Nərimanov r.,"Bakı, 13 i̇yun 2022",06/15/2022,4 ,152 ,10/16 
2 otaqlı75 m²8/9 mərtəbə,135 000,Gənclik m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,75 ,8/9 
2 otaqlı67 m²13/18 mərtəbə,230 000,Şah İsmayıl Xətai m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,67 ,13/18 
3 otaqlı145 m²8/12 mərtəbə,350 000,Nəsimi r.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,145 ,8/12 
6 otaqlı170 m²2/2 mərtəbə,240 000,İçəri Şəhər m.,"Bakı, dünən 11:26",06/15/2022,6 ,170 ,2/2 
2 otaqlı42 m²8/16 mərtəbə,71 000,Nizami r.,"Bakı, dünən 09:08",06/15/2022,2 ,42 ,8/16 
3 otaqlı68 m²9/17 mərtəbə,153 000,Nəriman Nərimanov m.,"Bakı, 11 i̇yun 2022",06/15/2022,3 ,68 ,9/17 
3 otaqlı113.7 m²3/16 mərtəbə,142 063,Biləcəri q.,"Bakı, 27 may 2022",06/15/2022,3 ,113.7 ,3/16 
1 otaqlı68.3 m²,116 110,Bakı,"Bakı, 03 i̇yun 2022",06/15/2022,1 ,68.3 ,
3 otaqlı170 m²,323 000,Bakı,"Bakı, 03 i̇yun 2022",06/15/2022,3 ,170 ,
3 otaqlı95.5 m²,119 387,Bakı,"Bakı, 08 i̇yun 2022",06/15/2022,3 ,95.5 ,
1 otaqlı54.1 m²,67 625,Bakı,"Bakı, 07 i̇yun 2022",06/15/2022,1 ,54.1 ,
3 otaqlı150 m²7/12 mərtəbə,315 000,Nəsimi r.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,150 ,7/12 
3 otaqlı75 m²4/5 mərtəbə,103 000,7-ci mikrorayon q.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,75 ,4/5 
2 otaqlı60 m²11/17 mərtəbə,140 000,Nərimanov r.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,60 ,11/17 
3 otaqlı79 m²15/17 mərtəbə,105 000,Yeni Yasamal q.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,79 ,15/17 
2 otaqlı26 m²1/1 mərtəbə,52 000,Sahil m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,26 ,1/1 
2 otaqlı86 m²8/17 mərtəbə,182 000,Elmlər Akademiyası m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,86 ,8/17 
2 otaqlı55 m²10/15 mərtəbə,125 000,Nərimanov r.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,55 ,10/15 
4 otaqlı264 m²7/21 mərtəbə,580 000,28 May m.,"Bakı, 13 i̇yun 2022",06/15/2022,4 ,264 ,7/21 
3 otaqlı70 m²19/22 mərtəbə,115 000,Yeni Yasamal q.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,70 ,19/22 
3 otaqlı70 m²12/16 mərtəbə,122 000,Bakıxanov q.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,70 ,12/16 
2 otaqlı85 m²3/17 mərtəbə,116 000,Həzi Aslanov m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,85 ,3/17 
6 otaqlı470 m²8/27 mərtəbə,2 200 000,Şah İsmayıl Xətai m.,"Bakı, 13 i̇yun 2022",06/15/2022,6 ,470 ,8/27 
2 otaqlı90 m²2/17 mərtəbə,155 000,Yasamal r.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,90 ,2/17 
3 otaqlı63 m²4/5 mərtəbə,120 000,İnşaatçılar m.,"Bakı, bugün 09:04",06/15/2022,3 ,63 ,4/5 
10 otaqlı1200 m²25/28 mərtəbə,2 400 000,Şah İsmayıl Xətai m.,"Bakı, 13 i̇yun 2022",06/15/2022,10 ,1200 ,25/28 
3 otaqlı133 m²11/17 mərtəbə,230 000,Nəsimi r.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,133 ,11/17 
3 otaqlı128 m²12/19 mərtəbə,235 000,Elmlər Akademiyası m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,128 ,12/19 
3 otaqlı154 m²5/18 mərtəbə,300 000,Elmlər Akademiyası m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,154 ,5/18 
4 otaqlı178 m²6/16 mərtəbə,560 000,28 May m.,"Bakı, 13 i̇yun 2022",06/15/2022,4 ,178 ,6/16 
4 otaqlı172 m²14/18 mərtəbə,285 000,Nəsimi m.,"Bakı, 13 i̇yun 2022",06/15/2022,4 ,172 ,14/18 
3 otaqlı111 m²5/14 mərtəbə,145 000,Yeni Yasamal q.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,111 ,5/14 
2 otaqlı52 m²5/16 mərtəbə,105 000,İnşaatçılar m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,52 ,5/16 
3 otaqlı157 m²10/17 mərtəbə,250 000,Nəriman Nərimanov m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,157 ,10/17 
3 otaqlı116 m²15/19 mərtəbə,205 000,Nəriman Nərimanov m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,116 ,15/19 
3 otaqlı124.7 m²11/15 mərtəbə,286 810,Nəriman Nərimanov m.,"Bakı, 29 may 2022",06/15/2022,3 ,124.7 ,11/15 
4 otaqlı144.1 m²2/7 mərtəbə,400 000,Xətai r.,"Bakı, 07 i̇yun 2022",06/15/2022,4 ,144.1 ,2/7 
3 otaqlı122 m²4/17 mərtəbə,278 000,Elmlər Akademiyası m.,"Bakı, bugün 13:59",06/15/2022,3 ,122 ,4/17 
2 otaqlı95 m²5/17 mərtəbə,119 000,Avtovağzal m.,"Bakı, 11 i̇yun 2022",06/15/2022,2 ,95 ,5/17 
2 otaqlı46 m²,85 100,20 Yanvar m.,"Bakı, 08 i̇yun 2022",06/15/2022,2 ,46 ,
4 otaqlı154 m²,354 131,Bakı,"Bakı, dünən 15:26",06/15/2022,4 ,154 ,
3 otaqlı112.4 m²,140 500,Bakı,"Bakı, 27 may 2022",06/15/2022,3 ,112.4 ,
2 otaqlı72.1 m²,165 469,Sea Breeze ,"Bakı, bugün 11:42",06/15/2022,2 ,72.1 ,
4 otaqlı170 m²9/17 mərtəbə,210 000,Həzi Aslanov q.,"Bakı, 13 i̇yun 2022",06/15/2022,4 ,170 ,9/17 
2 otaqlı112 m²16/24 mərtəbə,240 000,Şah İsmayıl Xətai m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,112 ,16/24 
3 otaqlı90 m²2/9 mərtəbə,138 000,Yeni Yasamal q.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,90 ,2/9 
2 otaqlı100 m²12/17 mərtəbə,215 000,Nəsimi r.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,100 ,12/17 
4 otaqlı100 m²8/9 mərtəbə,200 000,Gənclik m.,"Bakı, 13 i̇yun 2022",06/15/2022,4 ,100 ,8/9 
2 otaqlı68 m²4/4 mərtəbə,92 000,Yeni Yasamal q.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,68 ,4/4 
2 otaqlı67 m²12/16 mərtəbə,114 000,Nərimanov r.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,67 ,12/16 
4 otaqlı190 m²2/9 mərtəbə,280 000,Azadlıq Prospekti m.,"Bakı, 13 i̇yun 2022",06/15/2022,4 ,190 ,2/9 
3 otaqlı80 m²4/5 mərtəbə,160 000,Nəsimi r.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,80 ,4/5 
3 otaqlı105 m²7/16 mərtəbə,160 000,Binəqədi r.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,105 ,7/16 
3 otaqlı70 m²4/5 mərtəbə,115 000,İnşaatçılar m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,70 ,4/5 
2 otaqlı99 m²13/16 mərtəbə,198 000,Nəsimi r.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,99 ,13/16 
2 otaqlı60 m²8/9 mərtəbə,125 000,Nərimanov r.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,60 ,8/9 
3 otaqlı146 m²5/18 mərtəbə,124 000,Yeni Yasamal q.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,146 ,5/18 
3 otaqlı90 m²10/10 mərtəbə,158 000,Gənclik m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,90 ,10/10 
2 otaqlı55 m²10/15 mərtəbə,125 000,Nərimanov r.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,55 ,10/15 
1 otaqlı35 m²3/5 mərtəbə,75 000,Yasamal r.,"Bakı, 13 i̇yun 2022",06/15/2022,1 ,35 ,3/5 
3 otaqlı165.9 m²10/18 mərtəbə,387 000,Nəsimi r.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,165.9 ,10/18 
3 otaqlı79 m²17/17 mərtəbə,117 500,7-ci mikrorayon q.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,79 ,17/17 
3 otaqlı60 m²4/5 mərtəbə,200 000,Şah İsmayıl Xətai m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,60 ,4/5 
3 otaqlı65 m²3/5 mərtəbə,117 000,İnşaatçılar m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,65 ,3/5 
3 otaqlı100 m²2/5 mərtəbə,280 000,Nəsimi r.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,100 ,2/5 
2 otaqlı67 m²8/9 mərtəbə,96 900,Memar Əcəmi m.,"Bakı, bugün 09:44",06/15/2022,2 ,67 ,8/9 
3 otaqlı145 m²6/21 mərtəbə,370 000,Elmlər Akademiyası m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,145 ,6/21 
3 otaqlı98.6 m²11/12 mərtəbə,77 050,Dərnəgül m.,"Bakı, 24 may 2022",06/15/2022,3 ,98.6 ,11/12 
2 otaqlı100 m²15/17 mərtəbə,100 000,Yeni Yasamal q.,"Bakı, bugün 14:18",06/15/2022,2 ,100 ,15/17 
4 otaqlı115 m²2/5 mərtəbə,222 000,Nərimanov r.,"Bakı, bugün 09:57",06/15/2022,4 ,115 ,2/5 
1 otaqlı49.7 m²7/9 mərtəbə,62 162,7-ci mikrorayon q.,"Bakı, bugün 10:01",06/15/2022,1 ,49.7 ,7/9 
5 otaqlı308 m²,571 340,Bakı,"Bakı, 02 i̇yun 2022",06/15/2022,5 ,308 ,
1 otaqlı45.7 m²,57 112,Bakı,"Bakı, bugün 10:39",06/15/2022,1 ,45.7 ,
3 otaqlı217 m²,523 621,Bakı,"Bakı, 19 may 2022",06/15/2022,3 ,217 ,
2 otaqlı76.1 m²,101 329,Yasamal r.,"Bakı, 31 may 2022",06/15/2022,2 ,76.1 ,
1 otaqlı36 m²5/5 mərtəbə,60 000,İnşaatçılar m.,"Bakı, 13 i̇yun 2022",06/15/2022,1 ,36 ,5/5 
3 otaqlı90 m²3/9 mərtəbə,134 000,Yeni Yasamal q.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,90 ,3/9 
2 otaqlı110.9 m²4/9 mərtəbə,164 000,Nəsimi r.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,110.9 ,4/9 
2 otaqlı80 m²8/16 mərtəbə,180 000,Nəriman Nərimanov m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,80 ,8/16 
3 otaqlı90 m²16/17 mərtəbə,128 000,Yeni Yasamal q.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,90 ,16/17 
2 otaqlı60 m²5/9 mərtəbə,82 000,Əhmədli m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,60 ,5/9 
2 otaqlı72 m²9/16 mərtəbə,160 000,Şah İsmayıl Xətai m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,72 ,9/16 
3 otaqlı155 m²10/16 mərtəbə,250 000,Nərimanov r.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,155 ,10/16 
3 otaqlı128 m²9/12 mərtəbə,211 000,Nizami m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,128 ,9/12 
2 otaqlı54 m²12/17 mərtəbə,98 000,Memar Əcəmi m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,54 ,12/17 
3 otaqlı141 m²6/17 mərtəbə,250 000,Nəsimi r.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,141 ,6/17 
3 otaqlı155 m²10/16 mərtəbə,250 000,Nərimanov r.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,155 ,10/16 
4 otaqlı140 m²16/18 mərtəbə,315 000,Nəsimi r.,"Bakı, 13 i̇yun 2022",06/15/2022,4 ,140 ,16/18 
2 otaqlı65 m²9/9 mərtəbə,85 000,Əhmədli q.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,65 ,9/9 
3 otaqlı160 m²2/5 mərtəbə,180 000,Azadlıq Prospekti m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,160 ,2/5 
3 otaqlı150 m²16/16 mərtəbə,250 000,Şah İsmayıl Xətai m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,150 ,16/16 
3 otaqlı100 m²12/16 mərtəbə,190 000,Nizami m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,100 ,12/16 
4 otaqlı95 m²4/5 mərtəbə,160 000,Yasamal r.,"Bakı, 13 i̇yun 2022",06/15/2022,4 ,95 ,4/5 
3 otaqlı123 m²3/17 mərtəbə,175 000,Nəsimi m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,123 ,3/17 
2 otaqlı90 m²15/15 mərtəbə,70 000,Həzi Aslanov m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,90 ,15/15 
5 otaqlı176 m²2/2 mərtəbə,475 000,Sahil m.,"Bakı, 13 i̇yun 2022",06/15/2022,5 ,176 ,2/2 
2 otaqlı60 m²1/9 mərtəbə,73 000,Yeni Günəşli q.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,60 ,1/9 
2 otaqlı64 m²7/20 mərtəbə,140 000,Xətai r.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,64 ,7/20 
3 otaqlı75 m²8/9 mərtəbə,85 000,Köhnə Günəşli q.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,75 ,8/9 
3 otaqlı108 m²16/21 mərtəbə,179 000,Əhmədli q.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,108 ,16/21 
3 otaqlı141 m²3/8 mərtəbə,650 000,Nardaran q.,"Bakı, 12 i̇yun 2022",06/15/2022,3 ,141 ,3/8 
2 otaqlı96.5 m²5/16 mərtəbə,165 000,8 Noyabr m.,"Bakı, 31 may 2022",06/15/2022,2 ,96.5 ,5/16 
3 otaqlı140 m²10/18 mərtəbə,255 000,Yasamal q.,"Bakı, bugün 14:33",06/15/2022,3 ,140 ,10/18 
3 otaqlı170 m²,323 000,Bakı,"Bakı, 03 i̇yun 2022",06/15/2022,3 ,170 ,
4 otaqlı167.6 m²,251 400,28 May m.,"Bakı, 10 i̇yun 2022",06/15/2022,4 ,167.6 ,
3 otaqlı99.5 m²,124 337,Bakı,"Bakı, 07 i̇yun 2022",06/15/2022,3 ,99.5 ,
2 otaqlı75.7 m²,263 814,Sea Breeze ,"Bakı, dünən 14:46",06/15/2022,2 ,75.7 ,
2 otaqlı45 m²3/5 mərtəbə,85 000,Memar Əcəmi m.,"Bakı, dünən 12:04",06/15/2022,2 ,45 ,3/5 
4 otaqlı100 m²1/9 mərtəbə,115 000,Yeni Yasamal q.,"Bakı, bugün 11:16",06/15/2022,4 ,100 ,1/9 
4 otaqlı177 m²16/16 mərtəbə,210 000,Nizami m.,"Bakı, 13 i̇yun 2022",06/15/2022,4 ,177 ,16/16 
2 otaqlı52 m²16/18 mərtəbə,79 000,Yeni Yasamal q.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,52 ,16/18 
2 otaqlı87 m²2/16 mərtəbə,129 000,İnşaatçılar m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,87 ,2/16 
4 otaqlı242 m²8/19 mərtəbə,351 000,Nəsimi r.,"Bakı, 13 i̇yun 2022",06/15/2022,4 ,242 ,8/19 
3 otaqlı97 m²6/15 mərtəbə,185 000,İnşaatçılar m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,97 ,6/15 
3 otaqlı136 m²9/14 mərtəbə,290 000,İnşaatçılar m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,136 ,9/14 
2 otaqlı45 m²10/12 mərtəbə,59 000,Massiv D q.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,45 ,10/12 
2 otaqlı58 m²2/14 mərtəbə,76 000,Əhmədli q.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,58 ,2/14 
3 otaqlı143 m²6/16 mərtəbə,265 000,İnşaatçılar m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,143 ,6/16 
4 otaqlı140 m²18/19 mərtəbə,230 000,Nəriman Nərimanov m.,"Bakı, 13 i̇yun 2022",06/15/2022,4 ,140 ,18/19 
2 otaqlı60 m²2/5 mərtəbə,195 000,Yasamal r.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,60 ,2/5 
2 otaqlı67 m²15/19 mərtəbə,82 000,Neftçilər m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,67 ,15/19 
4 otaqlı100 m²4/5 mərtəbə,160 000,Nəsimi r.,"Bakı, 13 i̇yun 2022",06/15/2022,4 ,100 ,4/5 
2 otaqlı80 m²9/11 mərtəbə,109 500,Memar Əcəmi m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,80 ,9/11 
2 otaqlı65 m²3/5 mərtəbə,118 000,Azadlıq Prospekti m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,65 ,3/5 
3 otaqlı156 m²16/21 mərtəbə,410 000,28 May m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,156 ,16/21 
2 otaqlı75 m²16/17 mərtəbə,115 000,Neftçilər m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,75 ,16/17 
3 otaqlı85 m²4/5 mərtəbə,190 000,Yasamal r.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,85 ,4/5 
4 otaqlı100 m²7/9 mərtəbə,160 000,İnşaatçılar m.,"Bakı, 13 i̇yun 2022",06/15/2022,4 ,100 ,7/9 
3 otaqlı82 m²3/8 mərtəbə,78 500,Masazır q.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,82 ,3/8 
2 otaqlı72 m²5/16 mərtəbə,157 000,Şah İsmayıl Xətai m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,72 ,5/16 
3 otaqlı85 m²4/9 mərtəbə,142 000,Yasamal r.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,85 ,4/9 
3 otaqlı108.3 m²4/15 mərtəbə,135 375,7-ci mikrorayon q.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,108.3 ,4/15 
3 otaqlı119.7 m²15/16 mərtəbə,221 445,Nərimanov r.,"Bakı, 07 i̇yun 2022",06/15/2022,3 ,119.7 ,15/16 
4 otaqlı210 m²17/18 mərtəbə,178 000,Həzi Aslanov q.,"Bakı, dünən 13:02",06/15/2022,4 ,210 ,17/18 
4 otaqlı180 m²15/18 mərtəbə,290 000,M.Ə.Rəsulzadə q.,"Bakı, 12 i̇yun 2022",06/15/2022,4 ,180 ,15/18 
3 otaqlı121.5 m²,279 335,Bakı,"Bakı, dünən 15:26",06/15/2022,3 ,121.5 ,
2 otaqlı72.1 m²,75 652,Bakı,"Bakı, 27 may 2022",06/15/2022,2 ,72.1 ,
1 otaqlı67.1 m²,124 134,Bakı,"Bakı, 03 i̇yun 2022",06/15/2022,1 ,67.1 ,
2 otaqlı74.3 m²,104 777,Yasamal r.,"Bakı, 31 may 2022",06/15/2022,2 ,74.3 ,
4 otaqlı110 m²9/9 mərtəbə,117 000,Yeni Yasamal q.,"Bakı, 13 i̇yun 2022",06/15/2022,4 ,110 ,9/9 
2 otaqlı50 m²5/9 mərtəbə,97 000,Yasamal r.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,50 ,5/9 
2 otaqlı65 m²5/16 mərtəbə,158 000,Şah İsmayıl Xətai m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,65 ,5/16 
2 otaqlı67 m²12/17 mərtəbə,115 000,28 May m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,67 ,12/17 
2 otaqlı55 m²9/14 mərtəbə,107 000,Nərimanov r.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,55 ,9/14 
2 otaqlı42 m²5/5 mərtəbə,67 000,Bakıxanov q.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,42 ,5/5 
3 otaqlı94 m²14/14 mərtəbə,87 500,Bakıxanov q.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,94 ,14/14 
4 otaqlı110 m²3/5 mərtəbə,179 000,Qara Qarayev m.,"Bakı, 13 i̇yun 2022",06/15/2022,4 ,110 ,3/5 
3 otaqlı52 m²4/7 mərtəbə,55 000,Masazır q.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,52 ,4/7 
3 otaqlı90 m²10/19 mərtəbə,155 000,Əhmədli m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,90 ,10/19 
5 otaqlı120 m²2/9 mərtəbə,125 000,Həzi Aslanov q.,"Bakı, 13 i̇yun 2022",06/15/2022,5 ,120 ,2/9 
3 otaqlı92 m²10/10 mərtəbə,184 000,Nəriman Nərimanov m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,92 ,10/10 
2 otaqlı72 m²9/18 mərtəbə,140 000,Elmlər Akademiyası m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,72 ,9/18 
3 otaqlı110 m²14/18 mərtəbə,225 000,Nəsimi r.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,110 ,14/18 
3 otaqlı125 m²12/18 mərtəbə,189 999,İnşaatçılar m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,125 ,12/18 
4 otaqlı218 m²6/14 mərtəbə,298 000,Nizami m.,"Bakı, 13 i̇yun 2022",06/15/2022,4 ,218 ,6/14 
2 otaqlı60 m²10/18 mərtəbə,138 000,Nəsimi r.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,60 ,10/18 
2 otaqlı55 m²3/9 mərtəbə,75 000,Əhmədli q.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,55 ,3/9 
2 otaqlı60 m²3/5 mərtəbə,97 000,Nəsimi r.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,60 ,3/5 
3 otaqlı65 m²5/12 mərtəbə,125 000,7-ci mikrorayon q.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,65 ,5/12 
4 otaqlı191 m²4/17 mərtəbə,465 000,Gənclik m.,"Bakı, 13 i̇yun 2022",06/15/2022,4 ,191 ,4/17 
1 otaqlı53 m²3/17 mərtəbə,71 000,Həzi Aslanov m.,"Bakı, 13 i̇yun 2022",06/15/2022,1 ,53 ,3/17 
2 otaqlı87 m²8/8 mərtəbə,175 000,28 May m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,87 ,8/8 
3 otaqlı169 m²3/14 mərtəbə,270 400,Bayıl q.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,169 ,3/14 
3 otaqlı162 m²4/17 mərtəbə,600 000,Elmlər Akademiyası m.,"Bakı, bugün 12:19",06/15/2022,3 ,162 ,4/17 
2 otaqlı79.5 m²7/16 mərtəbə,99 375,7-ci mikrorayon q.,"Bakı, bugün 10:00",06/15/2022,2 ,79.5 ,7/16 
3 otaqlı60 m²4/5 mərtəbə,200 000,Şah İsmayıl Xətai m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,60 ,4/5 
1 otaqlı49.7 m²7/9 mərtəbə,62 162,7-ci mikrorayon q.,"Bakı, bugün 10:01",06/15/2022,1 ,49.7 ,7/9 
3 otaqlı101.1 m²,126 375,Bakı,"Bakı, 08 i̇yun 2022",06/15/2022,3 ,101.1 ,
4 otaqlı287 m²,583 184,Bakı,"Bakı, 09 i̇yun 2022",06/15/2022,4 ,287 ,
3 otaqlı110.3 m²,209 494,Bakı,"Bakı, 09 i̇yun 2022",06/15/2022,3 ,110.3 ,
3 otaqlı121.5 m²,279 335,Bakı,"Bakı, dünən 15:26",06/15/2022,3 ,121.5 ,
3 otaqlı120 m²16/16 mərtəbə,158 000,Memar Əcəmi m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,120 ,16/16 
2 otaqlı76 m²6/20 mərtəbə,125 000,Əhmədli q.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,76 ,6/20 
3 otaqlı108 m²15/16 mərtəbə,230 000,Nəsimi r.,"Bakı, dünən 12:40",06/15/2022,3 ,108 ,15/16 
3 otaqlı140 m²2/18 mərtəbə,250 000,8 Noyabr m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,140 ,2/18 
3 otaqlı169 m²6/14 mərtəbə,235 000,Nizami m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,169 ,6/14 
3 otaqlı110 m²16/20 mərtəbə,160 000,Əhmədli q.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,110 ,16/20 
3 otaqlı110 m²9/9 mərtəbə,200 000,28 May m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,110 ,9/9 
3 otaqlı98 m²15/18 mərtəbə,155 500,Həzi Aslanov m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,98 ,15/18 
1 otaqlı35 m²3/5 mərtəbə,66 000,Qara Qarayev m.,"Bakı, 13 i̇yun 2022",06/15/2022,1 ,35 ,3/5 
3 otaqlı85 m²5/5 mərtəbə,180 000,28 May m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,85 ,5/5 
3 otaqlı125 m²3/17 mərtəbə,275 000,Elmlər Akademiyası m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,125 ,3/17 
2 otaqlı100 m²8/20 mərtəbə,177 000,8 Noyabr m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,100 ,8/20 
2 otaqlı70 m²13/17 mərtəbə,85 000,Həzi Aslanov m.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,70 ,13/17 
4 otaqlı90 m²2/5 mərtəbə,113 000,Biləcəri q.,"Bakı, 13 i̇yun 2022",06/15/2022,4 ,90 ,2/5 
2 otaqlı60 m²6/9 mərtəbə,95 000,Yasamal r.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,60 ,6/9 
2 otaqlı65 m²2/3 mərtəbə,105 000,8-ci kilometr q.,"Bakı, 13 i̇yun 2022",06/15/2022,2 ,65 ,2/3 
4 otaqlı100 m²3/5 mərtəbə,167 000,Azadlıq Prospekti m.,"Bakı, 13 i̇yun 2022",06/15/2022,4 ,100 ,3/5 
4 otaqlı263.5 m²4/20 mərtəbə,421 600,Nərimanov r.,"Bakı, 13 i̇yun 2022",06/15/2022,4 ,263.5 ,4/20 
3 otaqlı155 m²4/18 mərtəbə,230 000,Şah İsmayıl Xətai m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,155 ,4/18 
3 otaqlı95 m²9/17 mərtəbə,167 000,İnşaatçılar m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,95 ,9/17 
3 otaqlı85 m²3/10 mərtəbə,340 000,28 May m.,"Bakı, 13 i̇yun 2022",06/15/2022,3 ,85 ,3/10 
