location,city,object_type,bill_num,mortgage_num,price_cleaned,rooms_cleaned_num,size_cleaned_num,floor_current_num,floor_max_num,floor_ratio
Gənclik m.,baki,menziller/kohne-tikili,1,0,119900,2.0,65.0,8.0,9.0,0.8888888888888888
Memar Əcəmi m.,baki,menziller/kohne-tikili,1,0,97000,3.0,50.0,2.0,5.0,0.4
Qara Qarayev m.,baki,menziller/kohne-tikili,1,0,112000,3.0,80.0,6.0,9.0,0.6666666666666666
Nərimanov r.,baki,menziller/kohne-tikili,1,1,120000,3.0,85.0,5.0,9.0,0.5555555555555556
Yasamal r.,baki,menziller/kohne-tikili,1,0,113000,3.0,65.0,2.0,5.0,0.4
Qara Qarayev m.,baki,menziller/kohne-tikili,1,0,118000,5.0,115.0,9.0,9.0,1.0
Neftçilər m.,baki,menziller/kohne-tikili,1,0,121000,3.0,65.0,4.0,9.0,0.4444444444444444
Gənclik m.,baki,menziller/kohne-tikili,1,0,156000,3.0,80.0,6.0,9.0,0.6666666666666666
Nərimanov r.,baki,menziller/kohne-tikili,1,0,190000,4.0,100.0,4.0,9.0,0.4444444444444444
Nardaran q.,baki,evler,1,0,635000,10.0,750.0,,,
Həzi Aslanov q.,baki,evler,1,0,75000,3.0,80.0,,,
Şağan q.,baki,evler,1,0,475000,5.0,331.0,,,
Sabunçu q.,baki,evler,1,0,42000,3.0,35.0,,,
Binəqədi q.,baki,evler,0,0,57000,4.0,91.0,,,
Sabunçu r.,baki,evler,1,1,890000,6.0,850.0,,,
Əmircan q.,baki,evler,1,1,48000,3.0,50.0,,,
Bilgəh q.,baki,evler,1,1,2700000,9.0,2500.0,,,
Maştağa q.,baki,evler,1,0,13500,2.0,195.0,,,
Nərimanov r.,baki,evler,1,0,3000000,7.0,575.0,,,
Qobu q.,baki,evler,1,0,59000,12.0,390.0,,,
Yasamal r.,baki,evler,1,0,370000,2.0,60.0,,,
Badamdar q.,baki,evler,1,0,900000,12.0,800.0,,,
Badamdar q.,baki,evler,1,0,310000,6.0,405.0,,,
Qobu q.,baki,evler,1,1,23500,2.0,58.0,,,
Mərdəkan q.,baki,evler,1,0,308000,4.0,180.0,,,
Mərdəkan q.,baki,evler,1,0,980000,5.0,450.0,,,
Xəzər r.,baki,evler,1,0,65000,5.0,25.0,,,
Biləcəri q.,baki,evler,0,0,58500,3.0,90.0,,,
Binəqədi q.,baki,evler,1,0,53900,3.0,80.0,,,
Biləcəri q.,baki,evler,1,0,950000,6.0,560.0,,,
Şağan q.,baki,evler,0,0,56000,3.0,90.0,,,
Masazır q.,baki,evler,1,0,200000,6.0,224.0,,,
Hövsan q.,baki,evler,1,0,66000,5.0,180.0,,,
Binə q.,baki,evler,1,0,165000,6.0,300.0,,,
Masazır q.,baki,evler,1,0,75000,4.0,120.0,,,
Masazır q.,baki,evler,1,0,46500,3.0,80.0,,,
Masazır q.,baki,evler,1,0,46000,3.0,39.0,,,
Kürdəxanı q.,baki,baglar,1,0,87000,,12500.0,,,
Nardaran q.,baki,baglar,1,0,1200000,,380.0,,,
Nardaran q.,baki,baglar,1,0,375000,,350.0,,,
Mərdəkan q.,baki,baglar,1,0,349000,,225.0,,,
Mərdəkan q.,baki,baglar,1,0,260000,,160.0,,,
Mərdəkan q.,baki,baglar,1,0,470000,,300.0,,,
Mərdəkan q.,baki,baglar,1,0,310000,,200.0,,,
Mərdəkan q.,baki,baglar,1,0,970000,,500.0,,,
Şüvəlan q.,baki,baglar,1,0,590000,,430.0,,,
Mərdəkan q.,baki,baglar,1,0,590000,,350.0,,,
Mərdəkan q.,baki,baglar,1,0,495000,,240.0,,,
Mərdəkan q.,baki,baglar,1,0,310000,,170.0,,,
Şüvəlan q.,baki,baglar,1,0,215000,,160.0,,,
Mərdəkan q.,baki,baglar,1,0,420000,,200.0,,,
Mərdəkan q.,baki,baglar,1,0,1080000,,600.0,,,
Mərdəkan q.,baki,baglar,1,0,750000,,400.0,,,
Mərdəkan q.,baki,baglar,1,0,330000,,175.0,,,
Mərdəkan q.,baki,baglar,1,0,430000,,200.0,,,
Mərdəkan q.,baki,baglar,1,0,330000,,180.0,,,
Mərdəkan q.,baki,baglar,1,0,300000,,260.0,,,
Saray q.,baki,baglar,1,0,160000,,80.0,,,
Şüvəlan q.,baki,baglar,1,0,400000,,300.0,,,
Pirşağı q.,baki,baglar,1,0,420000,,200.0,,,
Mərdəkan q.,baki,baglar,1,0,135000,,110.0,,,
Mərdəkan q.,baki,baglar,1,1,450000,,220.0,,,
Mərdəkan q.,baki,baglar,1,0,370000,,220.0,,,
Mərdəkan q.,baki,baglar,1,0,1080000,,550.0,,,
Şüvəlan q.,baki,baglar,0,0,235000,,185.0,,,
Elmlər Akademiyası m.,baki,ofisler,0,0,386000,7.0,181.0,,,
Nərimanov r.,baki,ofisler,1,0,1550000,8.0,550.0,,,
Sahil m.,baki,ofisler,1,0,600000,5.0,194.0,,,
3-cü mikrorayon q.,baki,ofisler,1,0,230000,3.0,110.0,,,
Nəsimi r.,baki,ofisler,1,1,510000,4.0,315.0,,,
28 May m.,baki,ofisler,1,0,530000,6.0,201.0,,,
Nəsimi r.,baki,ofisler,0,1,580000,5.0,241.0,,,
Xətai r.,baki,ofisler,0,0,195000,1.0,46.3,,,
Yasamal r.,baki,ofisler,1,1,805000,9.0,470.0,,,
Nərimanov r.,baki,ofisler,1,0,320000,3.0,138.0,,,
Nərimanov r.,baki,ofisler,1,0,390000,4.0,263.0,,,
Nərimanov r.,baki,ofisler,1,0,1150000,20.0,638.0,,,
Sahil m.,baki,ofisler,1,0,590000,5.0,230.0,,,
Elmlər Akademiyası m.,baki,ofisler,0,0,386000,7.0,181.0,,,
Xətai r.,baki,ofisler,1,0,1281000,11.0,420.0,,,
Nizami m.,baki,ofisler,1,0,770000,6.0,340.0,,,
Nizami m.,baki,ofisler,1,0,370000,5.0,155.0,,,
Sahil m.,baki,ofisler,1,0,120000,2.0,50.0,,,
Şah İsmayıl Xətai m.,baki,ofisler,1,0,14000,1.0,18.0,,,
İnşaatçılar m.,baki,ofisler,1,0,170000,6.0,142.0,,,
Nəsimi r.,baki,ofisler,1,0,990000,10.0,340.0,,,
Nərimanov r.,baki,ofisler,1,0,390000,7.0,130.0,,,
Şah İsmayıl Xətai m.,baki,ofisler,1,0,440000,4.0,105.0,,,
Nizami m.,baki,ofisler,1,0,275000,4.0,178.0,,,
Sahil m.,baki,ofisler,1,0,2550000,14.0,879.0,,,
Şah İsmayıl Xətai m.,baki,ofisler,1,1,380000,4.0,135.0,,,
Nizami m.,baki,qarajlar,1,0,19500,,23.0,,,
Nəsimi r.,baki,qarajlar,0,0,37000,,22.0,,,
Memar Əcəmi m.,baki,qarajlar,1,0,14000,,30.0,,,
Nərimanov r.,baki,qarajlar,1,0,30000,,12.0,,,
Badamdar q.,baki,qarajlar,1,0,65000,,100.0,,,
Bayıl q.,baki,qarajlar,0,0,51000,,26.0,,,
Nəsimi r.,baki,qarajlar,0,0,37000,,22.0,,,
Nərimanov r.,baki,qarajlar,1,0,30000,,12.0,,,
9-cu mikrorayon q.,baki,qarajlar,1,0,11000,,24.0,,,
Elmlər Akademiyası m.,baki,qarajlar,0,0,32000,,42.0,,,
İnşaatçılar m.,baki,qarajlar,1,0,28000,,40.0,,,
Memar Əcəmi m.,baki,qarajlar,1,0,32000,,25.0,,,
İnşaatçılar m.,baki,qarajlar,1,0,45000,,40.0,,,
Nəriman Nərimanov m.,baki,qarajlar,1,1,45000,,43.0,,,
Yasamal r.,baki,qarajlar,1,0,27000,,27.0,,,
Xətai r.,baki,qarajlar,0,0,14000,,20.0,,,
Nərimanov r.,baki,qarajlar,0,0,24000,,27.0,,,
Memar Əcəmi m.,baki,qarajlar,1,0,14000,,18.0,,,
Memar Əcəmi m.,baki,qarajlar,0,0,5000,,18.0,,,
Azadlıq Prospekti m.,baki,qarajlar,1,0,25000,,24.0,,,
İnşaatçılar m.,baki,qarajlar,0,0,7500,,16.5,,,
Həzi Aslanov q.,baki,qarajlar,1,0,13000,,24.0,,,
Əhmədli q.,baki,qarajlar,1,0,16500,,26.3,,,
Nizami m.,baki,qarajlar,1,0,19500,,23.0,,,
Yasamal q.,baki,qarajlar,0,0,23000,,18.0,,,
İnşaatçılar m.,baki,qarajlar,1,0,50000,,28.0,,,
9-cu mikrorayon q.,baki,qarajlar,0,0,20000,,18.0,,,
Elmlər Akademiyası m.,baki,qarajlar,0,0,25000,,20.0,,,
Şüvəlan q.,baki,torpaq,1,0,52000,,,,,
Sabunçu r.,baki,torpaq,1,0,105000,,,,,
Badamdar q.,baki,torpaq,1,0,200000,,,,,
Badamdar q.,baki,torpaq,1,0,350000,,,,,
Qobu q.,baki,torpaq,1,0,15000,,,,,
Saray q.,baki,torpaq,1,0,11550,,,,,
Mərdəkan q.,baki,torpaq,1,0,504000,,,,,
Mərdəkan q.,baki,torpaq,1,0,235000,,,,,
Zabrat q.,baki,torpaq,1,0,14000,,,,,
Mərdəkan q.,baki,torpaq,1,0,192000,,,,,
Qara Qarayev m.,baki,torpaq,1,0,76000,,,,,
Hövsan q.,baki,torpaq,1,0,18000,,,,,
Hökməli q.,baki,torpaq,1,1,195000,,,,,
Zirə q.,baki,torpaq,1,0,90000,,,,,
Novxanı q.,baki,torpaq,1,0,130000,,,,,
Şüvəlan q.,baki,torpaq,1,0,33000,,,,,
Bakıxanov q.,baki,torpaq,0,0,140000,,,,,
Bilgəh q.,baki,torpaq,1,0,102000,,,,,
Mərdəkan q.,baki,torpaq,1,0,263500,,,,,
Görədil q.,baki,torpaq,1,0,42000,,,,,
Qala q.,baki,torpaq,0,0,55000,,,,,
Bakıxanov q.,baki,torpaq,1,0,120000,,,,,
Bakıxanov q.,baki,torpaq,0,0,84000,,,,,
Novxanı q.,baki,torpaq,1,0,129600,,,,,
Binə q.,baki,torpaq,1,1,245000,,,,,
Məmmədli q.,baki,torpaq,1,0,1260000,,,,,
Ulduz m.,baki,torpaq,0,0,1500000,,,,,
Hövsan q.,baki,torpaq,1,0,25000,,,,,
Nəsimi r.,baki,obyektler,1,0,162000,,100.0,,,
Nərimanov r.,baki,obyektler,1,0,320000,,97.0,,,
Nizami m.,baki,obyektler,1,0,680000,,120.0,,,
İçəri Şəhər m.,baki,obyektler,1,0,227000,,60.0,,,
Həzi Aslanov m.,baki,obyektler,1,0,650000,,220.0,,,
Binə q.,baki,obyektler,1,0,77000,,1000.0,,,
Nəriman Nərimanov m.,baki,obyektler,1,0,349900,,100.0,,,
Novxanı q.,baki,obyektler,1,0,215000,,2000.0,,,
Sahil m.,baki,obyektler,1,1,900000,,90.0,,,
İçəri Şəhər m.,baki,obyektler,1,0,670000,,200.0,,,
Yasamal r.,baki,obyektler,1,0,1300000,,220.0,,,
20 Yanvar m.,baki,obyektler,1,1,77000,,36.0,,,
Binəqədi r.,baki,obyektler,1,0,189000,,100.0,,,
Səbail r.,baki,obyektler,1,0,455000,,1100.0,,,
İnşaatçılar m.,baki,obyektler,1,0,290000,,118.0,,,
Neftçilər m.,baki,obyektler,1,0,163000,,130.0,,,
9-cu mikrorayon q.,baki,obyektler,1,0,750000,,440.0,,,
Xətai r.,baki,obyektler,1,0,150000,,104.0,,,
Nəriman Nərimanov m.,baki,obyektler,1,0,98000,,100.0,,,
Bakıxanov q.,baki,obyektler,1,0,300000,,97.0,,,
28 May m.,baki,obyektler,1,0,600000,,52.0,,,
İnşaatçılar m.,baki,obyektler,0,0,100000,,65.0,,,
Sahil m.,baki,obyektler,1,0,435000,,200.0,,,
İnşaatçılar m.,baki,obyektler,1,0,640000,,300.0,,,
Sahil m.,baki,obyektler,1,0,240000,,34.3,,,
İçəri Şəhər m.,baki,obyektler,1,0,350000,,120.0,,,
Şah İsmayıl Xətai m.,baki,obyektler,0,0,399000,,200.0,,,
4-cü mikrorayon q.,baki,obyektler,1,0,1300000,,414.0,,,
Sumqayıt,sumqayit,menziller,1,0,44500,1.0,33.0,5.0,5.0,1.0
Sumqayıt,sumqayit,menziller,0,0,96408,3.0,107.1,,,
Sumqayıt,sumqayit,menziller,0,0,72207,2.0,80.2,,,
Sumqayıt,sumqayit,menziller,0,0,70191,2.0,78.0,,,
Sumqayıt,sumqayit,menziller,0,0,48429,1.0,53.8,,,
Sumqayıt,sumqayit,menziller,1,0,29000,1.0,40.0,5.0,5.0,1.0
Sumqayıt,sumqayit,menziller,1,0,92000,2.0,56.0,3.0,4.0,0.75
Sumqayıt,sumqayit,menziller,1,0,74000,3.0,70.0,1.0,5.0,0.2
Sumqayıt,sumqayit,menziller,0,0,48300,2.0,47.0,9.0,17.0,0.5294117647058824
Sumqayıt,sumqayit,menziller,0,0,26000,2.0,36.0,2.0,3.0,0.6666666666666666
Sumqayıt,sumqayit,menziller,1,0,119500,3.0,94.0,10.0,11.0,0.9090909090909091
Sumqayıt,sumqayit,menziller,1,0,104000,4.0,90.0,5.0,5.0,1.0
Sumqayıt,sumqayit,menziller,1,0,107000,3.0,107.0,11.0,13.0,0.8461538461538461
Sumqayıt,sumqayit,menziller,1,0,97000,5.0,100.0,4.0,5.0,0.8
Sumqayıt,sumqayit,menziller,1,0,170000,3.0,126.0,4.0,12.0,0.3333333333333333
Sumqayıt,sumqayit,menziller,1,0,119500,3.0,94.0,10.0,11.0,0.9090909090909091
Sumqayıt,sumqayit,menziller,1,1,148500,3.0,128.0,2.0,16.0,0.125
Sumqayıt,sumqayit,menziller,0,0,48200,2.0,47.0,9.0,17.0,0.5294117647058824
Sumqayıt,sumqayit,menziller,1,1,145000,3.0,138.0,15.0,16.0,0.9375
